1|,|0.0013222842 0.003083059 0.9800679 0.005071428 0.0022572672 0.0014697999 0.0015988416 0.0007302848 0.0016991104 0.002998812 0.0014919703 0.0017415623 0.0016197569 0.0015616325 0.0012789323 0.0033259066 0.005166214
2|,|0.0008353143 0.0006918266 0.0005285066 0.00064355345 0.00068156526 0.00053238607 0.00049876305 0.0010090464 0.0007343237 0.0007862808 0.00030697885 0.00064060575 0.00048725342 0.00049631996 0.001498999 0.00093892525 0.00043608798
3|,|0.0020642143 0.002662857 0.0017800912 0.001452239 0.9461243 0.0017300597 0.0017040159 0.0015922027 0.0028207074 0.0027430423 0.0011684179 0.9658441 0.0018976443 0.0017454181 0.0018705676 0.002045909 0.0025809065
4|,|0.0010362555 0.7018174 0.0004492908 0.0016648815 0.0025685702 0.0010532852 0.0013879515 0.0013684161 0.8353458 0.0041902903 0.0010662362 0.0016935065 0.0009986531 0.0012400037 0.0013119958 0.0034347086 0.0019108305
5|,|0.0042250464 0.00429474 0.0019523612 0.0031960052 0.0043286136 0.0018774755 0.973343 0.0022530742 0.0050443634 0.0074813706 0.0048061293 0.0018810997 0.0029664398 0.29505274 0.0021485793 0.005710616 0.00431801
6|,|0.66390896 0.99808085 0.78721493 0.0076112263 0.007994659 0.0045301626 0.006059233 0.0024274106 0.007490207 0.0052694306 0.0071707414 0.0046522478 0.0030319688 0.0047094002 0.009586902 0.006071451 0.0035665552
7|,|0.0008826951 0.0006564301 0.0006975177 0.00061015604 0.0007568738 0.0004305768 0.0006037577 0.00076089683 0.0008616651 0.0007870995 0.00036678565 0.00041566868 0.00041652663 0.000570596 0.0010977199 0.0008727014 0.0004953322
8|,|0.9869905 0.0034632294 0.00089006394 0.0042259954 0.010356367 0.0017826927 0.0020088989 0.0035161183 0.0026280445 0.0039301827 0.0014346739 0.0014568189 0.0020132381 0.00298016 0.016234051 0.0069967685 0.003006436
9|,|0.0074852845 0.0028216601 0.0017565808 0.002392811 0.98779106 0.0017562171 0.0013330627 0.0028155956 0.003614598 0.00336215 0.0013058797 0.0018556674 0.0013450045 0.0025241587 0.0013138127 0.0025993972 0.0016359533
10|,|0.15151031 0.001690936 0.035004083 0.0007818707 0.14438157 0.001087157 0.0011298701 0.0022099128 0.0012498839 0.000855793 0.00031805743 0.0016298332 0.00068765844 0.00047686527 0.000555571 0.00032053044 0.00213345
11|,|0.005713235 0.019173311 0.003028005 0.0071461815 0.0065483036 0.9546851 0.016379414 0.006166563 0.004599043 0.0049262117 0.0031984034 0.0012143191 0.0021238683 0.00438996 0.0036716491 0.00219098 0.0034679733
12|,|0.0017616533 0.0020189947 0.986834 0.002364127 0.0031308807 0.0024754922 0.002770511 0.0018088288 0.0040982435 0.0026658222 0.0012959297 0.0016663936 0.0020797944 0.002881215 0.0027906345 0.0009999579 0.0032481828
13|,|0.0020475942 0.0012611258 0.003930517 0.0027170673 0.0017473232 0.0103690475 0.001748177 0.0022618298 0.0020141907 0.0016577409 0.0024574483 0.0018184494 0.002765741 0.0011823768 0.0034761473 0.9979874 0.0012573735
14|,|0.0028839165 0.002999903 0.003915588 0.0014876293 0.0035359804 0.0032385697 0.0026648105 0.001483259 0.00487338 0.0023327656 0.0016061539 0.9799187 0.0041195075 0.0015499236 0.030884145 0.0040012416 0.0022953202
15|,|0.009362592 0.0044514635 8.744752e-05 0.0019406204 0.00033389733 0.00018925777 0.003804028 0.003362898 0.0030551301 0.0008712009 0.0014589687 0.00045786772 0.00022208194 0.0025296682 0.0014693631 0.0066173645 0.0010292826
16|,|0.0038313007 0.0032015871 0.0022411942 0.0025631166 0.99582326 0.0034501036 0.0026199666 0.0028476692 0.003112004 0.0027532724 0.0021364447 0.9826187 0.0036274334 0.0028706193 0.0031992549 0.013521649 0.002906583
17|,|0.4498502 0.0015340598 0.0020461057 0.0010363241 0.002399117 0.0013175305 0.0014575246 0.9075214 0.00084105635 0.03394922 0.0006973313 0.0050332947 0.0016483479 0.0006052523 0.00095291325 0.0018772064 0.001725014
18|,|0.0027205748 0.0014600966 0.0022679283 0.001685598 0.0025043814 0.0017277448 0.0018293442 0.0024307566 0.0023672802 0.003424954 0.0011032972 0.0015047968 0.0015392137 0.0015470146 0.0020541872 0.002972595 0.98806375
19|,|0.00077032216 0.00063635164 0.00060902216 0.00073198345 0.000635458 0.00040747973 0.000666111 0.0009748204 0.0009851716 0.0006914601 0.00035080776 0.00062738144 0.00044935034 0.0006465033 0.0020865707 0.00078399037 0.00042561284
20|,|0.00077391276 0.002292485 0.32743454 0.00033125302 0.0127909705 0.0019389652 0.0013274729 0.00024823504 0.0006274108 0.0114725595 0.0006529033 0.0025519864 0.0017183144 0.0008150603 0.0012750293 0.00031140246 0.0019882463
21|,|0.005067224 0.0023472547 0.0013196385 0.0018539142 0.9851062 0.0015178649 0.0012999028 0.0013562726 0.0030366988 0.003086565 0.0012315799 0.0022462597 0.0010807352 0.0016654228 0.0022416357 0.0038822447 0.0016358085
22|,|0.007779333 0.23910545 0.93741876 0.99777126 0.0034291688 0.0037609125 0.0049983603 0.012679494 0.00857785 0.015408094 0.18421982 0.0032076128 0.0059127337 0.0042831004 0.0045890496 0.0040691774 0.0065117367
23|,|0.003819823 0.0020964085 0.00083891733 0.0014716787 0.0035689992 0.0024751013 0.0023877397 0.0054521332 0.97187346 0.9300974 0.112596974 0.0028470326 0.003316181 0.005592823 0.009360267 0.0042667896 0.0035323664
